2229.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2230.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2231.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2232.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2233.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2234.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2235.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2236.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2237.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2238.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2239.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2240.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2241.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2242.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2243.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2244.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2245.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2246.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2247.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2248.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2249.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2250.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2251.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2252.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2253.000000 0.016528 0.108444 0.000000 0.000000 7.000000
2254.000000 0.016486 0.108443 -0.002076 -0.000078 7.000000
2255.000000 0.016486 0.108443 -0.003134 -0.000117 7.000000
2256.000000 0.016486 0.108443 -0.001597 -0.000060 7.000000
2257.000000 0.016486 0.108443 -0.000814 -0.000030 7.000000
2258.000000 0.016486 0.108443 -0.000414 -0.000015 7.000000
2259.000000 0.016486 0.108443 -0.000211 -0.000008 7.000000
2260.000000 0.016486 0.108443 -0.000108 -0.000004 7.000000
2261.000000 0.016486 0.108443 -0.000055 -0.000002 7.000000
2262.000000 0.016486 0.108443 -0.000028 -0.000001 7.000000
2263.000000 0.016486 0.108443 -0.000014 -0.000001 7.000000
2264.000000 0.016486 0.108443 -0.000007 -0.000000 7.000000
2265.000000 0.016486 0.108443 -0.000004 -0.000000 7.000000
2266.000000 0.016486 0.108443 -0.000002 -0.000000 7.000000
2267.000000 0.016486 0.108443 -0.000001 -0.000000 7.000000
2268.000000 0.016486 0.108443 -0.000000 -0.000000 7.000000
2269.000000 0.016486 0.108443 -0.000000 -0.000000 7.000000
2270.000000 0.016486 0.108443 -0.000000 -0.000000 7.000000
2271.000000 0.016486 0.108443 -0.000000 -0.000000 7.000000
2272.000000 0.016483 0.108404 -0.000164 -0.001904 7.000000
2273.000000 0.016483 0.108404 -0.000247 -0.002874 7.000000
2274.000000 0.016486 0.108443 0.000038 0.000440 7.000000
2275.000000 0.016483 0.108404 0.000019 0.000224 7.000000
2276.000000 0.016483 0.108404 -0.000154 -0.001790 7.000000
2277.000000 0.016483 0.108404 -0.000078 -0.000912 7.000000
2278.000000 0.016483 0.108404 -0.000040 -0.000465 7.000000
2279.000000 0.016483 0.108404 -0.000020 -0.000237 7.000000
2280.000000 0.016483 0.108404 -0.000010 -0.000121 7.000000
2281.000000 0.016483 0.108404 -0.000005 -0.000061 7.000000
2282.000000 0.016483 0.108404 -0.000003 -0.000031 7.000000
2283.000000 0.016483 0.108404 -0.000001 -0.000016 7.000000
2284.000000 0.016483 0.108404 -0.000001 -0.000008 7.000000
2285.000000 0.016483 0.108404 -0.000000 -0.000004 7.000000
2286.000000 0.016483 0.108404 -0.000000 -0.000002 7.000000
2287.000000 0.016483 0.108404 -0.000000 -0.000001 7.000000
2288.000000 0.016483 0.108404 -0.000000 -0.000001 7.000000
2289.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2290.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2291.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2292.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2293.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2294.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2295.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2296.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2297.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2298.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2299.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2300.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2301.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2302.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2303.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2304.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2305.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2306.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2307.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2308.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2309.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2310.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2311.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2312.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2313.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2314.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2315.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2316.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2317.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2318.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2319.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2320.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2321.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2322.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2323.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2324.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2325.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2326.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2327.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2328.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2329.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2330.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2331.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2332.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2333.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2334.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2335.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2336.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2337.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2338.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2339.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2340.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2341.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2342.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2343.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2344.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2345.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2346.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2347.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2348.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2349.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2350.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2351.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2352.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2353.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2354.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2355.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2356.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2357.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2358.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2359.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2360.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2361.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2362.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2363.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2364.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2365.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2366.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2367.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2368.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2369.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2370.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2371.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2372.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2373.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2374.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2375.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2376.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2377.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2378.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2379.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2380.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2381.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2382.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2383.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2384.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2385.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2386.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2387.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2388.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2389.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2390.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2391.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2392.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2393.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2394.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2395.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2396.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2397.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2398.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2399.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2400.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2401.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2402.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2403.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2404.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2405.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2406.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2407.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2408.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2409.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2410.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2411.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2412.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2413.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2414.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2415.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2416.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2417.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2418.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2419.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2420.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2421.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2422.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2423.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2424.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2425.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2426.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2427.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2428.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2429.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2430.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2431.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2432.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2433.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2434.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2435.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2436.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2437.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2438.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2439.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2440.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2441.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2442.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2443.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2444.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2445.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2446.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2447.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2448.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2449.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2450.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2451.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2452.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2453.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2454.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2455.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2456.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2457.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2458.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2459.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2460.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2461.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2462.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2463.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2464.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2465.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2466.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2467.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2468.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2469.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2470.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2471.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2472.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2473.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2474.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2475.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2476.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2477.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2478.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2479.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2480.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2481.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2482.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2483.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2484.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2485.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2486.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2487.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2488.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2489.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2490.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2491.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2492.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2493.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2494.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2495.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2496.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2497.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2498.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2499.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2500.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2501.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2502.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2503.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2504.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2505.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2506.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2507.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2508.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2509.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2510.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2511.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2512.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2513.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2514.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2515.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2516.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2517.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2518.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2519.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2520.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2521.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2522.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2523.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2524.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2525.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2526.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2527.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2528.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2529.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2530.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2531.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2532.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2533.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2534.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2535.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2536.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2537.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2538.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2539.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2540.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2541.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2542.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2543.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2544.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2545.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2546.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2547.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2548.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2549.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2550.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2551.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2552.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2553.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2554.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2555.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2556.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2557.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2558.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2559.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2560.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2561.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2562.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2563.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2564.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2565.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2566.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2567.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2568.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2569.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2570.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2571.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2572.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2573.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2574.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2575.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2576.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2577.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2578.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2579.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2580.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2581.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2582.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2583.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2584.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2585.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2586.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2587.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2588.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2589.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2590.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2591.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2592.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2593.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2594.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2595.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2596.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2597.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2598.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2599.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2600.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2601.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2602.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2603.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2604.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2605.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2606.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2607.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2608.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2609.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2610.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2611.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2612.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2613.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2614.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2615.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2616.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2617.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2618.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2619.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2620.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2621.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2622.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2623.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2624.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2625.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2626.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2627.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2628.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2629.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2630.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2631.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2632.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2633.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2634.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2635.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2636.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2637.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2638.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2639.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2640.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2641.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2642.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2643.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2644.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2645.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2646.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2647.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2648.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2649.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2650.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2651.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2652.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
2653.000000 0.016483 0.108404 -0.000000 -0.000000 7.000000
